id;Factor;Power;Time;ROI;Frequency;Eyes
8;ALPHA_aucp_POST_EO_midline;0.09466000000000001;Post;Midline;Alpha;EO
9;ALPHA_aucp_POST_EO_midline;0.0996;Post;Midline;Alpha;EO
10;ALPHA_aucp_POST_EO_midline;0.1279;Post;Midline;Alpha;EO
11;ALPHA_aucp_POST_EO_midline;0.18734;Post;Midline;Alpha;EO
12;ALPHA_aucp_POST_EO_midline;0.22974;Post;Midline;Alpha;EO
13;ALPHA_aucp_POST_EO_midline;0.21475999999999998;Post;Midline;Alpha;EO
14;ALPHA_aucp_POST_EO_midline;0.14452;Post;Midline;Alpha;EO
1;THETA_aucp_PRE_EO_midline;0.13032;Pre;Midline;Theta;EO
2;THETA_aucp_PRE_EO_midline;0.23485999999999999;Pre;Midline;Theta;EO
3;THETA_aucp_PRE_EO_midline;0.20794;Pre;Midline;Theta;EO
4;THETA_aucp_PRE_EO_midline;0.18295999999999998;Pre;Midline;Theta;EO
5;THETA_aucp_PRE_EO_midline;0.2348;Pre;Midline;Theta;EO
6;THETA_aucp_PRE_EO_midline;0.36501999999999996;Pre;Midline;Theta;EO
7;THETA_aucp_PRE_EO_midline;0.18838;Pre;Midline;Theta;EO
8;THETA_aucp_PRE_EO_midline;0.15532;Pre;Midline;Theta;EO
9;THETA_aucp_PRE_EO_midline;0.15944;Pre;Midline;Theta;EO
10;THETA_aucp_PRE_EO_midline;0.19232;Pre;Midline;Theta;EO
11;THETA_aucp_PRE_EO_midline;0.18792;Pre;Midline;Theta;EO
12;THETA_aucp_PRE_EO_midline;0.2383;Pre;Midline;Theta;EO
13;THETA_aucp_PRE_EO_midline;0.191;Pre;Midline;Theta;EO
14;THETA_aucp_PRE_EO_midline;0.20002;Pre;Midline;Theta;EO
1;THETA_aucp_POST_EO_midline;0.15988;Post;Midline;Theta;EO
2;THETA_aucp_POST_EO_midline;0.16718;Post;Midline;Theta;EO
3;THETA_aucp_POST_EO_midline;0.2089;Post;Midline;Theta;EO
4;THETA_aucp_POST_EO_midline;0.16072;Post;Midline;Theta;EO
5;THETA_aucp_POST_EO_midline;0.24452;Post;Midline;Theta;EO
6;THETA_aucp_POST_EO_midline;0.35338;Post;Midline;Theta;EO
7;THETA_aucp_POST_EO_midline;0.23806;Post;Midline;Theta;EO
8;THETA_aucp_POST_EO_midline;0.19305999999999998;Post;Midline;Theta;EO
9;THETA_aucp_POST_EO_midline;0.12582000000000002;Post;Midline;Theta;EO
10;THETA_aucp_POST_EO_midline;0.19635999999999998;Post;Midline;Theta;EO
11;THETA_aucp_POST_EO_midline;0.1615;Post;Midline;Theta;EO
12;THETA_aucp_POST_EO_midline;0.17484;Post;Midline;Theta;EO
13;THETA_aucp_POST_EO_midline;0.21188;Post;Midline;Theta;EO
14;THETA_aucp_POST_EO_midline;0.17492;Post;Midline;Theta;EO
1;DELTA_aucp_PRE_EO_midline;0.24724000000000002;Pre;Midline;Delta;EO
2;DELTA_aucp_PRE_EO_midline;0.18686;Pre;Midline;Delta;EO
3;DELTA_aucp_PRE_EO_midline;0.30412;Pre;Midline;Delta;EO
4;DELTA_aucp_PRE_EO_midline;0.22851999999999997;Pre;Midline;Delta;EO
5;DELTA_aucp_PRE_EO_midline;0.2174;Pre;Midline;Delta;EO
6;DELTA_aucp_PRE_EO_midline;0.18602;Pre;Midline;Delta;EO
7;DELTA_aucp_PRE_EO_midline;0.26586;Pre;Midline;Delta;EO
8;DELTA_aucp_PRE_EO_midline;0.2451;Pre;Midline;Delta;EO
9;DELTA_aucp_PRE_EO_midline;0.2218;Pre;Midline;Delta;EO
10;DELTA_aucp_PRE_EO_midline;0.25316;Pre;Midline;Delta;EO
11;DELTA_aucp_PRE_EO_midline;0.20412;Pre;Midline;Delta;EO
12;DELTA_aucp_PRE_EO_midline;0.18972;Pre;Midline;Delta;EO
13;DELTA_aucp_PRE_EO_midline;0.19336;Pre;Midline;Delta;EO
14;DELTA_aucp_PRE_EO_midline;0.25454;Pre;Midline;Delta;EO
1;DELTA_aucp_POST_EO_midline;0.23435999999999998;Post;Midline;Delta;EO
2;DELTA_aucp_POST_EO_midline;0.1917;Post;Midline;Delta;EO
3;DELTA_aucp_POST_EO_midline;0.27696;Post;Midline;Delta;EO
4;DELTA_aucp_POST_EO_midline;0.18156;Post;Midline;Delta;EO
5;DELTA_aucp_POST_EO_midline;0.16082;Post;Midline;Delta;EO
6;DELTA_aucp_POST_EO_midline;0.14816;Post;Midline;Delta;EO
7;DELTA_aucp_POST_EO_midline;0.25066;Post;Midline;Delta;EO
8;DELTA_aucp_POST_EO_midline;0.25782;Post;Midline;Delta;EO
9;DELTA_aucp_POST_EO_midline;0.21821999999999997;Post;Midline;Delta;EO
10;DELTA_aucp_POST_EO_midline;0.28086;Post;Midline;Delta;EO
11;DELTA_aucp_POST_EO_midline;0.1837;Post;Midline;Delta;EO
12;DELTA_aucp_POST_EO_midline;0.22364;Post;Midline;Delta;EO
13;DELTA_aucp_POST_EO_midline;0.1683;Post;Midline;Delta;EO
14;DELTA_aucp_POST_EO_midline;0.23836;Post;Midline;Delta;EO
1;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.1928;Pre;Parietotemporal;Alpha;EO
2;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.35205;Pre;Parietotemporal;Alpha;EO
3;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.220225;Pre;Parietotemporal;Alpha;EO
4;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.195325;Pre;Parietotemporal;Alpha;EO
5;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.158325;Pre;Parietotemporal;Alpha;EO
6;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.273975;Pre;Parietotemporal;Alpha;EO
7;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.124125;Pre;Parietotemporal;Alpha;EO
8;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.144175;Pre;Parietotemporal;Alpha;EO
9;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.151325;Pre;Parietotemporal;Alpha;EO
10;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.162175;Pre;Parietotemporal;Alpha;EO
11;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.20755;Pre;Parietotemporal;Alpha;EO
12;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.26125;Pre;Parietotemporal;Alpha;EO
13;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.219075;Pre;Parietotemporal;Alpha;EO
14;ALPHA_aucp_PRE_EO_parietotemporalPURE;0.1611;Pre;Parietotemporal;Alpha;EO
1;ALPHA_aucp_POST_EO_parietotemporalPURE;0.276575;Post;Parietotemporal;Alpha;EO
2;ALPHA_aucp_POST_EO_parietotemporalPURE;0.269375;Post;Parietotemporal;Alpha;EO
3;ALPHA_aucp_POST_EO_parietotemporalPURE;0.2071;Post;Parietotemporal;Alpha;EO
4;ALPHA_aucp_POST_EO_parietotemporalPURE;0.27125;Post;Parietotemporal;Alpha;EO
5;ALPHA_aucp_POST_EO_parietotemporalPURE;0.165175;Post;Parietotemporal;Alpha;EO
6;ALPHA_aucp_POST_EO_parietotemporalPURE;0.306125;Post;Parietotemporal;Alpha;EO
7;ALPHA_aucp_POST_EO_parietotemporalPURE;0.11575;Post;Parietotemporal;Alpha;EO
8;ALPHA_aucp_POST_EO_parietotemporalPURE;0.081125;Post;Parietotemporal;Alpha;EO
9;ALPHA_aucp_POST_EO_parietotemporalPURE;0.121975;Post;Parietotemporal;Alpha;EO
10;ALPHA_aucp_POST_EO_parietotemporalPURE;0.12405;Post;Parietotemporal;Alpha;EO
11;ALPHA_aucp_POST_EO_parietotemporalPURE;0.17245;Post;Parietotemporal;Alpha;EO
12;ALPHA_aucp_POST_EO_parietotemporalPURE;0.25785;Post;Parietotemporal;Alpha;EO
